sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
0159,2,ROLE_MAPPING_OK,1,0,,0.9858,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.604, ""counselor_sec"": 110.02, ""purity"": 0.9856, ""word_count"": 266}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 111.625, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 264}]"
0882,4,ROLE_MAPPING_OK,"1,3",0,,1.0,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 160.4181, ""purity"": 1.0, ""word_count"": 400}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 76.085, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 176}, {""speaker"": 2, ""role"": ""UNKNOWN"", ""child_sec"": 0.0, ""counselor_sec"": 0.0, ""purity"": 0.0, ""word_count"": 2}, {""speaker"": 3, ""role"": ""CHILD"", ""child_sec"": 1.5, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 3}]"
3693,2,ROLE_MAPPING_OK,1,0,,0.9852,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.98, ""counselor_sec"": 115.454, ""purity"": 0.9916, ""word_count"": 343}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 65.118, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 182}]"
0741,2,ROLE_MAPPING_OK,1,0,,0.9934,0.9342,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.5, ""counselor_sec"": 101.337, ""purity"": 0.9951, ""word_count"": 261}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 75.1, ""counselor_sec"": 7.132, ""purity"": 0.9133, ""word_count"": 195}]"
5064,2,ROLE_MAPPING_OK,1,0,,0.9107,0.9939,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 10.243, ""counselor_sec"": 162.033, ""purity"": 0.9405, ""word_count"": 458}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 104.4301, ""counselor_sec"": 1.0, ""purity"": 0.9905, ""word_count"": 283}]"
2796,2,MIXED_SPEAKER_COLLAPSE,,,"0,1",0.0,0.0,"[{""speaker"": 0, ""role"": ""MIXED"", ""child_sec"": 33.629, ""counselor_sec"": 122.58, ""purity"": 0.7847, ""word_count"": 424}, {""speaker"": 1, ""role"": ""MIXED"", ""child_sec"": 56.68, ""counselor_sec"": 21.8, ""purity"": 0.7222, ""word_count"": 217}]"
0384,2,ROLE_MAPPING_OK,1,0,,1.0,0.8965,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 86.6509, ""purity"": 1.0, ""word_count"": 245}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 62.711, ""counselor_sec"": 10.0, ""purity"": 0.8625, ""word_count"": 194}]"
0857,3,ROLE_MAPPING_OK,1,"0,2",,1.0,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 108.532, ""purity"": 1.0, ""word_count"": 276}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 64.185, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 144}, {""speaker"": 2, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 0.5, ""purity"": 1.0, ""word_count"": 3}]"
1761,3,ROLE_MAPPING_OK,1,"0,2",,0.9155,0.9498,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.0, ""counselor_sec"": 119.784, ""purity"": 0.9917, ""word_count"": 342}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 70.68, ""counselor_sec"": 8.22, ""purity"": 0.8958, ""word_count"": 200}, {""speaker"": 2, ""role"": ""COUNSELOR"", ""child_sec"": 5.52, ""counselor_sec"": 35.692, ""purity"": 0.8661, ""word_count"": 109}]"
0981,3,ROLE_MAPPING_OK,1,"0,2",,1.0,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 162.6201, ""purity"": 1.0, ""word_count"": 418}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 112.5541, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 286}, {""speaker"": 2, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 0.424, ""purity"": 1.0, ""word_count"": 5}]"
